BillingAccountId,ChargePeriodStart,ChargePeriodEnd,ProviderName,ServiceCategory,ServiceName,ResourceId,ResourceName,ResourceType,RegionId,ConsumedQuantity,ConsumedUnit,PricingCategory,ListCost,BilledCost,EffectiveCost,BillingCurrency,Tags,x_UtilizationPct
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Compute,Amazon EC2,i-0a1prodapi,prod-api-cluster,m5.2xlarge,us-east-1,96,Hours,Committed,35.5349,21.3209,21.3209,USD,"{""env"":""prod"",""team"":""api""}",60.0
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Compute,Amazon EC2,i-0b2prodweb,prod-web-asg,c5.xlarge,us-east-1,144,Hours,On-Demand,25.1487,25.1487,25.1487,USD,"{""env"":""prod"",""team"":""web""}",38.7
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Compute,Amazon EC2,i-0c3staging,staging-servers,m5.xlarge,us-east-1,72,Hours,On-Demand,15.4939,15.4939,15.4939,USD,"{""env"":""staging"",""team"":""web""}",4.8
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Compute,Amazon EC2,i-0d4dev,dev-instances,t3.large,us-west-2,192,Hours,On-Demand,17.2957,17.2957,17.2957,USD,"{""env"":""dev"",""team"":""platform""}",2.6
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Databases,Amazon RDS,db-prod-primary,prod-database,db.r5.2xlarge,us-east-1,50.43,USD,On-Demand,50.4262,50.4262,50.4262,USD,"{""env"":""prod"",""team"":""data""}",63.4
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Databases,Amazon RDS,db-analytics,analytics-db,db.r5.xlarge,us-east-1,11.25,USD,On-Demand,11.2517,11.2517,11.2517,USD,"{""env"":""prod"",""team"":""data""}",26.1
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Storage,Amazon S3,s3-app-data,app-data,Standard,us-east-1,475.5,GB-Month,On-Demand,9.5098,9.5098,9.5098,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Storage,Amazon S3,s3-logs-archive,logs-archive,Standard,us-east-1,1728.5,GB-Month,On-Demand,34.5698,34.5698,34.5698,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Databases,Amazon ElastiCache,cache-prod,prod-cache,cache.r6g.xlarge,us-east-1,19.25,USD,On-Demand,19.2495,19.2495,19.2495,USD,"{""env"":""prod"",""team"":""api""}",50.0
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Compute,AWS Lambda,fn-api,api-functions,1024 MB,us-east-1,6.98,USD,On-Demand,6.9810,6.9810,6.9810,USD,"{""env"":""prod"",""team"":""api""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Networking,Amazon CloudFront,cf-dist,cdn-distribution,Global,global,17.61,USD,On-Demand,17.6065,17.6065,17.6065,USD,"{""env"":""prod"",""team"":""web""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,AWS,Networking,AWS Data Transfer,dt-out,data-transfer,Outbound,us-east-1,36.62,USD,On-Demand,36.6224,36.6224,36.6224,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Compute,Virtual Machines,vm-prod,prod-vms,Standard_D4s_v3,eastus,120,Hours,Committed,21.9153,13.1492,13.1492,USD,"{""env"":""prod"",""team"":""web""}",59.3
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Compute,Azure Kubernetes Service,aks-prod,aks-cluster,Standard_D8s_v3,eastus,72,Hours,On-Demand,26.2389,26.2389,26.2389,USD,"{""env"":""prod"",""team"":""api""}",67.8
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Compute,Virtual Machines,vm-staging,staging-vms,Standard_B4ms,eastus,96,Hours,On-Demand,18.2366,18.2366,18.2366,USD,"{""env"":""staging"",""team"":""web""}",11.4
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Databases,Azure SQL Database,sql-primary,sql-primary,BC_Gen5_8,eastus,76.06,USD,On-Demand,76.0603,76.0603,76.0603,USD,"{""env"":""prod"",""team"":""data""}",45.9
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Databases,Azure Cosmos DB,cosmos-main,cosmos-db,400 RU/s,eastus,19.09,USD,On-Demand,19.0892,19.0892,19.0892,USD,"{""env"":""prod"",""team"":""api""}",21.1
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Storage,Azure Blob Storage,blob-data,blob-storage,Hot,eastus,1257.6,GB-Month,On-Demand,25.1512,25.1512,25.1512,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Storage,Azure Blob Storage,blob-archive,archive-storage,Hot,eastus,1563,GB-Month,On-Demand,31.2610,31.2610,31.2610,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Compute,App Service,app-svc,app-service,P2v3,eastus,48,Hours,On-Demand,19.7174,19.7174,19.7174,USD,"{""env"":""prod"",""team"":""web""}",50.4
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Compute,Azure Functions,func-main,functions,EP1,eastus,24,Hours,On-Demand,6.3063,6.3063,6.3063,USD,"{""env"":""prod"",""team"":""api""}",23.7
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,Azure,Networking,Bandwidth,bw-out,bandwidth,Outbound,eastus,30.01,USD,On-Demand,30.0104,30.0104,30.0104,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Compute,Kubernetes Engine,gke-prod,gke-cluster,n2-standard-8,us-central1,96,Hours,On-Demand,34.2505,34.2505,34.2505,USD,"{""env"":""prod"",""team"":""api""}",66.0
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Compute,Compute Engine,gce-vms,compute-vms,n2-standard-4,us-central1,72,Hours,On-Demand,14.4809,14.4809,14.4809,USD,"{""env"":""prod"",""team"":""web""}",30.9
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Compute,Compute Engine,gce-dev,dev-vms,e2-medium,us-central1,144,Hours,On-Demand,4.8432,4.8432,4.8432,USD,"{""env"":""dev"",""team"":""platform""}",4.2
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Databases,Cloud SQL,csql-main,cloud-sql,db-custom-8-32768,us-central1,43.56,USD,On-Demand,43.5637,43.5637,43.5637,USD,"{""env"":""prod"",""team"":""data""}",45.1
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Analytics,BigQuery,bq-main,bigquery,On-demand,us,23.82,USD,On-Demand,23.8190,23.8190,23.8190,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Storage,Cloud Storage,gcs-data,gcs-data,Standard,us-central1,902.6,GB-Month,On-Demand,18.0512,18.0512,18.0512,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Storage,Cloud Storage,gcs-archive,gcs-archive,Standard,us-central1,623.2,GB-Month,On-Demand,12.4641,12.4641,12.4641,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Compute,Cloud Run,run-svcs,cloud-run,2 vCPU,us-central1,192,Hours,On-Demand,7.1051,7.1051,7.1051,USD,"{""env"":""prod"",""team"":""api""}",30.2
acct-0001,2026-03-22T00:00:00Z,2026-03-23T00:00:00Z,GCP,Networking,Network Egress,egress,egress,Outbound,us-central1,24.73,USD,On-Demand,24.7328,24.7328,24.7328,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Compute,Amazon EC2,i-0a1prodapi,prod-api-cluster,m5.2xlarge,us-east-1,96,Hours,Committed,30.5370,18.3222,18.3222,USD,"{""env"":""prod"",""team"":""api""}",72.4
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Compute,Amazon EC2,i-0b2prodweb,prod-web-asg,c5.xlarge,us-east-1,144,Hours,On-Demand,23.0335,23.0335,23.0335,USD,"{""env"":""prod"",""team"":""web""}",48.1
